===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,DoubleSMACross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
424,,424,2020-01-18 15:00:00,8922.59,8950.0,8869.98,8903.26,2486.26,,DoubleSMACross,424,737442.625,Broker,424,11296.660433742574,11296.660433742574,BuySell,424,,,Trades - Net Profit/Loss,424,,
425,,425,2020-01-18 16:00:00,8903.26,8935.17,8848.8,8883.26,2303.85,,DoubleSMACross,425,737442.6666666666,Broker,425,11296.660433742574,11296.660433742574,BuySell,425,,,Trades - Net Profit/Loss,425,,
426,,426,2020-01-18 17:00:00,8883.26,8914.44,8872.15,8904.96,1106.36,,DoubleSMACross,426,737442.7083333334,Broker,426,11296.660433742574,11296.660433742574,BuySell,426,,,Trades - Net Profit/Loss,426,,
427,,427,2020-01-18 18:00:00,8904.96,8909.96,8875.85,8886.79,966.25,,DoubleSMACross,427,737442.75,Broker,427,11296.660433742574,11296.660433742574,BuySell,427,,,Trades - Net Profit/Loss,427,,
428,,428,2020-01-18 19:00:00,8886.79,8916.98,8875.0,8907.93,834.59,,DoubleSMACross,428,737442.7916666666,Broker,428,101.78291050802031,11312.080641609238,BuySell,428,8741.875,,Trades - Net Profit/Loss,428,,
429,,429,2020-01-18 20:00:00,8907.93,8920.0,8889.0,8907.58,857.9,,DoubleSMACross,429,737442.8333333334,Broker,429,101.78291050802031,11311.640179660628,BuySell,429,,,Trades - Net Profit/Loss,429,,
430,,430,2020-01-18 21:00:00,8907.58,8929.31,8899.0,8920.27,689.5,,DoubleSMACross,430,737442.875,Broker,430,101.78291050802031,11327.610071454532,BuySell,430,,,Trades - Net Profit/Loss,430,,
431,,431,2020-01-18 22:00:00,8920.27,8955.0,8918.01,8954.26,1108.74,,DoubleSMACross,431,737442.9166666666,Broker,431,101.78291050802031,11370.385218978157,BuySell,431,,,Trades - Net Profit/Loss,431,,
432,,432,2020-01-18 23:00:00,8954.26,8960.0,8912.27,8915.96,1355.78,,DoubleSMACross,432,737442.9583333334,Broker,432,101.78291050802031,11322.186097173071,BuySell,432,,,Trades - Net Profit/Loss,432,,
433,,433,2020-01-19 00:00:00,8915.96,8979.59,8888.02,8972.78,2049.36,,DoubleSMACross,433,737443.0,Broker,433,101.78291050802031,11393.691948373202,BuySell,433,,,Trades - Net Profit/Loss,433,,
434,,434,2020-01-19 01:00:00,8972.78,9174.78,8972.78,9146.02,7186.63,,DoubleSMACross,434,737443.0416666666,Broker,434,101.78291050802031,11611.708028308269,BuySell,434,,,Trades - Net Profit/Loss,434,,
435,,435,2020-01-19 02:00:00,9146.02,9180.22,9123.63,9156.54,2559.96,,DoubleSMACross,435,737443.0833333334,Broker,435,101.78291050802031,11624.947056020788,BuySell,435,,,Trades - Net Profit/Loss,435,,
436,,436,2020-01-19 03:00:00,9156.54,9198.98,9143.01,9157.61,1835.87,,DoubleSMACross,436,737443.125,Broker,436,101.78291050802031,11626.293611120826,BuySell,436,,,Trades - Net Profit/Loss,436,,
437,,437,2020-01-19 04:00:00,9157.61,9165.0,9122.77,9149.0,1312.58,,DoubleSMACross,437,737443.1666666666,Broker,437,101.78291050802031,11615.458247185008,BuySell,437,,,Trades - Net Profit/Loss,437,,
438,,438,2020-01-19 05:00:00,9149.0,9156.79,9112.0,9131.14,1286.55,,DoubleSMACross,438,737443.2083333334,Broker,438,101.78291050802031,11592.982103178772,BuySell,438,,,Trades - Net Profit/Loss,438,,
439,,439,2020-01-19 06:00:00,9131.14,9147.56,9050.0,9073.12,2056.97,,DoubleSMACross,439,737443.25,Broker,439,101.78291050802031,11519.966096726266,BuySell,439,,,Trades - Net Profit/Loss,439,,
440,,440,2020-01-19 07:00:00,9073.12,9091.59,9041.0,9084.36,1868.03,,DoubleSMACross,440,737443.2916666666,Broker,440,101.78291050802031,11534.111217590213,BuySell,440,,,Trades - Net Profit/Loss,440,,
441,,441,2020-01-19 08:00:00,9084.36,9115.24,9070.54,9103.17,1348.07,,DoubleSMACross,441,737443.3333333334,Broker,441,101.78291050802031,11557.782901171247,BuySell,441,,,Trades - Net Profit/Loss,441,,
442,,442,2020-01-19 09:00:00,9103.17,9127.36,9052.0,9061.03,1295.17,,DoubleSMACross,442,737443.375,Broker,442,101.78291050802031,11504.75128255855,BuySell,442,,,Trades - Net Profit/Loss,442,,
443,,443,2020-01-19 10:00:00,9061.03,9079.44,9031.52,9038.69,1308.06,,DoubleSMACross,443,737443.4166666666,Broker,443,101.78291050802031,11476.6372256101,BuySell,443,,,Trades - Net Profit/Loss,443,,
444,,444,2020-01-19 11:00:00,9038.69,9038.91,8524.2,8681.44,13982.15,,DoubleSMACross,444,737443.4583333334,Broker,444,101.78291050802031,11027.051422349869,BuySell,444,,,Trades - Net Profit/Loss,444,,
445,,445,2020-01-19 12:00:00,8681.44,8684.76,8562.0,8628.02,3905.79,,DoubleSMACross,445,737443.5,Broker,445,101.78291050802031,10959.824344364812,BuySell,445,,,Trades - Net Profit/Loss,445,,
446,,446,2020-01-19 13:00:00,8628.02,8642.0,8559.02,8629.0,2321.42,,DoubleSMACross,446,737443.5416666666,Broker,446,101.78291050802031,10961.05763782092,BuySell,446,,,Trades - Net Profit/Loss,446,,
447,,447,2020-01-19 14:00:00,8629.0,8657.61,8610.0,8617.1,1820.11,,DoubleSMACross,447,737443.5833333334,Broker,447,10950.198363093608,10950.198363093608,BuySell,447,,8787.47415,Trades - Net Profit/Loss,447,,-346.4620706489654
448,,448,2020-01-19 15:00:00,8617.1,8648.0,8593.18,8631.95,1529.38,,DoubleSMACross,448,737443.625,Broker,448,10950.198363093608,10950.198363093608,BuySell,448,,,Trades - Net Profit/Loss,448,,
449,,449,2020-01-19 16:00:00,8631.95,8676.05,8610.0,8644.84,1660.16,,DoubleSMACross,449,737443.6666666666,Broker,449,10950.198363093608,10950.198363093608,BuySell,449,,,Trades - Net Profit/Loss,449,,
450,,450,2020-01-19 17:00:00,8644.84,8666.6,8618.88,8658.74,1152.81,,DoubleSMACross,450,737443.7083333334,Broker,450,10950.198363093608,10950.198363093608,BuySell,450,,,Trades - Net Profit/Loss,450,,
451,,451,2020-01-19 18:00:00,8658.74,8661.68,8626.36,8650.82,866.91,,DoubleSMACross,451,737443.75,Broker,451,10950.198363093608,10950.198363093608,BuySell,451,,,Trades - Net Profit/Loss,451,,
452,,452,2020-01-19 19:00:00,8650.82,8656.03,8626.0,8645.57,729.47,,DoubleSMACross,452,737443.7916666666,Broker,452,10950.198363093608,10950.198363093608,BuySell,452,,,Trades - Net Profit/Loss,452,,
453,,453,2020-01-19 20:00:00,8645.57,8657.96,8632.82,8647.63,938.73,,DoubleSMACross,453,737443.8333333334,Broker,453,10950.198363093608,10950.198363093608,BuySell,453,,,Trades - Net Profit/Loss,453,,
454,,454,2020-01-19 21:00:00,8647.63,8758.84,8641.99,8722.13,2994.52,,DoubleSMACross,454,737443.875,Broker,454,10950.198363093608,10950.198363093608,BuySell,454,,,Trades - Net Profit/Loss,454,,
455,,455,2020-01-19 22:00:00,8722.13,8752.0,8466.0,8643.47,5399.87,,DoubleSMACross,455,737443.9166666666,Broker,455,10950.198363093608,10950.198363093608,BuySell,455,,,Trades - Net Profit/Loss,455,,
456,,456,2020-01-19 23:00:00,8643.47,8723.45,8620.0,8701.7,1641.25,,DoubleSMACross,456,737443.9583333334,Broker,456,10950.198363093608,10950.198363093608,BuySell,456,,,Trades - Net Profit/Loss,456,,
457,,457,2020-01-20 00:00:00,8701.7,8735.84,8640.49,8665.21,2337.28,,DoubleSMACross,457,737444.0,Broker,457,10950.198363093608,10950.198363093608,BuySell,457,,,Trades - Net Profit/Loss,457,,
458,,458,2020-01-20 01:00:00,8665.21,8696.19,8635.97,8650.49,1027.51,,DoubleSMACross,458,737444.0416666666,Broker,458,10950.198363093608,10950.198363093608,BuySell,458,,,Trades - Net Profit/Loss,458,,
459,,459,2020-01-20 02:00:00,8650.49,8674.81,8627.94,8658.23,1145.49,,DoubleSMACross,459,737444.0833333334,Broker,459,10950.198363093608,10950.198363093608,BuySell,459,,,Trades - Net Profit/Loss,459,,
460,,460,2020-01-20 03:00:00,8658.23,8670.0,8638.23,8667.56,712.57,,DoubleSMACross,460,737444.125,Broker,460,10950.198363093608,10950.198363093608,BuySell,460,,,Trades - Net Profit/Loss,460,,
461,,461,2020-01-20 04:00:00,8667.56,8689.93,8632.76,8641.42,1027.32,,DoubleSMACross,461,737444.1666666666,Broker,461,10950.198363093608,10950.198363093608,BuySell,461,,,Trades - Net Profit/Loss,461,,
462,,462,2020-01-20 05:00:00,8641.42,8685.0,8640.46,8674.21,849.44,,DoubleSMACross,462,737444.2083333334,Broker,462,10950.198363093608,10950.198363093608,BuySell,462,,,Trades - Net Profit/Loss,462,,
463,,463,2020-01-20 06:00:00,8674.21,8686.0,8662.06,8684.07,749.35,,DoubleSMACross,463,737444.25,Broker,463,10950.198363093608,10950.198363093608,BuySell,463,,,Trades - Net Profit/Loss,463,,
464,,464,2020-01-20 07:00:00,8684.07,8694.0,8650.0,8665.14,1410.55,,DoubleSMACross,464,737444.2916666666,Broker,464,98.66128725147392,10915.726537247983,BuySell,464,8520.25,,Trades - Net Profit/Loss,464,,
465,,465,2020-01-20 08:00:00,8665.14,8682.92,8595.0,8640.8,1848.54,,DoubleSMACross,465,737444.3333333334,Broker,465,98.66128725147392,10885.341873158895,BuySell,465,,,Trades - Net Profit/Loss,465,,
466,,466,2020-01-20 09:00:00,8640.8,8673.0,8640.8,8660.9,1150.43,,DoubleSMACross,466,737444.375,Broker,466,98.66128725147392,10910.433563717263,BuySell,466,,,Trades - Net Profit/Loss,466,,
467,,467,2020-01-20 10:00:00,8660.9,8670.79,8634.43,8653.65,1439.69,,DoubleSMACross,467,737444.4166666666,Broker,467,98.66128725147392,10901.383078316856,BuySell,467,,,Trades - Net Profit/Loss,467,,
