close,high,low,open,volume,baseVolume,datetime
9386.88,9391.8,9335.0,9349.82,2193.85,20542601.97,2020-01-30 15:00:00
9370.93,9477.06,9220.0,9386.88,8039.07,75137552.34,2020-01-30 16:00:00
9468.5,9523.4,9370.17,9370.93,6805.76,64391424.84,2020-01-30 17:00:00
9499.28,9530.0,9458.02,9468.5,2713.56,25769435.35,2020-01-30 18:00:00
9506.82,9526.14,9460.0,9499.28,2961.13,28118282.66,2020-01-30 19:00:00
9575.38,9578.0,9486.57,9506.82,2828.28,26991724.01,2020-01-30 20:00:00
9566.05,9578.0,9520.2,9575.38,1489.32,14221023.85,2020-01-30 21:00:00
9563.69,9572.0,9531.01,9566.05,859.53,8209454.21,2020-01-30 22:00:00
9513.21,9577.56,9466.66,9563.69,1913.99,18210718.4,2020-01-30 23:00:00
9473.87,9530.22,9472.86,9513.21,1062.0,10092500.22,2020-01-31 00:00:00
9478.47,9499.71,9440.12,9473.87,1128.03,10687680.86,2020-01-31 01:00:00
9444.35,9479.06,9390.07,9478.47,1983.5,18707862.6,2020-01-31 02:00:00
9444.0,9474.94,9431.29,9444.35,1123.59,10626450.6,2020-01-31 03:00:00
9416.12,9448.68,9400.0,9444.0,1644.9,15496428.14,2020-01-31 04:00:00
9345.53,9432.14,9330.0,9416.12,2003.56,18790081.1,2020-01-31 05:00:00
9379.32,9393.17,9320.0,9345.53,2276.73,21313299.64,2020-01-31 06:00:00
9374.56,9382.39,9329.34,9379.32,1422.49,13299516.38,2020-01-31 07:00:00
9378.3,9409.51,9338.0,9374.56,1576.0,14767212.73,2020-01-31 08:00:00
9359.61,9414.94,9357.04,9378.3,1854.08,17409434.1,2020-01-31 09:00:00
9344.57,9384.91,9270.4,9359.61,2955.64,27593275.68,2020-01-31 10:00:00
9328.41,9347.75,9304.0,9344.57,2474.85,23093799.37,2020-01-31 11:00:00
9282.33,9332.23,9247.1,9328.41,3657.91,33977388.87,2020-01-31 12:00:00
9271.85,9295.6,9210.01,9282.33,2944.59,27260436.64,2020-01-31 13:00:00
9263.18,9300.0,9237.9,9271.85,1823.74,16901318.41,2020-01-31 14:00:00
9339.19,9345.82,9261.66,9263.18,1755.77,16332459.97,2020-01-31 15:00:00
9287.8,9367.5,9256.24,9339.19,2712.39,25257712.2,2020-01-31 16:00:00
9282.5,9316.44,9270.0,9287.8,1262.33,11733872.87,2020-01-31 17:00:00
9318.67,9320.0,9276.29,9282.5,844.33,7857322.8,2020-01-31 18:00:00
9302.67,9320.0,9294.33,9318.67,704.37,6557131.24,2020-01-31 19:00:00
9321.0,9339.97,9300.59,9302.67,925.31,8626509.3,2020-01-31 20:00:00
9366.24,9373.85,9315.34,9321.0,1161.53,10854161.65,2020-01-31 21:00:00
9402.42,9430.0,9342.77,9366.24,1422.96,13355330.09,2020-01-31 22:00:00
9352.89,9419.96,9327.24,9402.42,1040.74,9758287.35,2020-01-31 23:00:00
9383.07,9394.08,9341.17,9352.89,789.5,7395409.93,2020-02-01 00:00:00
9429.86,9435.0,9377.8,9383.07,1016.77,9559705.32,2020-02-01 01:00:00
9441.88,9464.53,9403.27,9429.86,1493.4,14101612.23,2020-02-01 02:00:00
9432.33,9457.14,9390.01,9441.88,1022.5,9637561.04,2020-02-01 03:00:00
9401.42,9449.94,9400.0,9432.33,862.62,8133343.39,2020-02-01 04:00:00
9381.12,9414.37,9377.77,9401.42,863.63,8118727.79,2020-02-01 05:00:00
9398.01,9409.64,9378.85,9381.12,769.84,7233421.94,2020-02-01 06:00:00
9423.01,9454.77,9396.96,9398.01,1388.43,13096120.26,2020-02-01 07:00:00
9384.62,9425.76,9380.0,9423.01,1229.35,11552335.63,2020-02-01 08:00:00
9387.87,9398.71,9355.0,9384.62,1376.81,12905967.67,2020-02-01 09:00:00
9379.55,9407.0,9358.0,9387.87,1024.07,9607041.57,2020-02-01 10:00:00
9354.66,9385.82,9321.41,9379.55,1381.15,12910042.13,2020-02-01 11:00:00
9312.06,9367.64,9281.0,9354.66,1449.55,13516256.78,2020-02-01 12:00:00
9345.35,9372.0,9303.72,9312.06,1433.8,13404699.13,2020-02-01 13:00:00
9350.08,9359.4,9305.0,9345.35,1386.63,12937442.87,2020-02-01 14:00:00
9333.91,9375.0,9330.27,9350.08,1231.67,11521436.46,2020-02-01 15:00:00
9405.8,9407.52,9327.0,9333.91,1518.5,14235697.85,2020-02-01 16:00:00
9381.48,9420.98,9380.94,9405.8,1575.03,14810222.3,2020-02-01 17:00:00
9390.3,9403.0,9356.01,9381.48,1055.28,9905903.69,2020-02-01 18:00:00
9367.09,9392.25,9351.43,9390.3,713.47,6686108.98,2020-02-01 19:00:00
9381.43,9392.05,9353.01,9367.09,881.97,8268509.72,2020-02-01 20:00:00
9379.99,9381.8,9364.06,9381.43,541.9,5079836.38,2020-02-01 21:00:00
9377.87,9407.8,9350.0,9379.99,853.98,8013523.18,2020-02-01 22:00:00
9384.61,9409.99,9376.69,9377.87,886.2,8323261.21,2020-02-01 23:00:00
9328.49,9387.03,9320.0,9384.61,1189.52,11120545.65,2020-02-02 00:00:00
9336.43,9347.81,9307.83,9328.49,1260.29,11755774.16,2020-02-02 01:00:00
9267.83,9336.43,9245.75,9336.43,2431.58,22561138.34,2020-02-02 02:00:00
9266.83,9295.06,9251.18,9267.83,1319.0,12232031.13,2020-02-02 03:00:00
9322.33,9332.72,9120.0,9266.83,4908.14,45402306.75,2020-02-02 04:00:00
9311.43,9346.08,9300.0,9322.33,1656.82,15432074.79,2020-02-02 05:00:00
9361.09,9382.0,9289.08,9311.43,2096.45,19579000.73,2020-02-02 06:00:00
9370.53,9385.0,9350.01,9361.09,1298.25,12161637.19,2020-02-02 07:00:00
9368.06,9400.0,9346.0,9370.53,1278.49,11977899.18,2020-02-02 08:00:00
9380.6,9385.0,9352.5,9368.06,964.16,9033138.47,2020-02-02 09:00:00
9423.35,9450.0,9380.55,9380.6,3734.14,35177294.57,2020-02-02 10:00:00
9435.54,9443.08,9410.0,9423.35,1240.4,11691161.6,2020-02-02 11:00:00
9421.8,9477.03,9402.04,9435.54,2686.4,25356739.15,2020-02-02 12:00:00
9421.99,9430.56,9396.83,9421.8,1388.68,13073431.25,2020-02-02 13:00:00
9446.86,9458.8,9363.89,9421.99,2153.97,20282128.71,2020-02-02 14:00:00
9446.77,9464.52,9433.68,9446.86,1541.77,14571913.63,2020-02-02 15:00:00
9427.75,9458.19,9417.96,9446.77,1250.21,11793838.9,2020-02-02 16:00:00
9430.73,9449.5,9395.46,9427.75,1751.38,16515057.24,2020-02-02 17:00:00
9442.75,9455.0,9428.02,9430.73,782.9,7394604.99,2020-02-02 18:00:00
9438.08,9460.0,9430.18,9442.75,1297.98,12259389.39,2020-02-02 19:00:00
9437.55,9454.87,9419.38,9438.08,1194.35,11275427.78,2020-02-02 20:00:00
9441.5,9447.24,9425.0,9437.55,633.49,5977973.75,2020-02-02 21:00:00
9380.0,9442.87,9374.53,9441.5,1437.48,13517602.01,2020-02-02 22:00:00
9331.51,9417.39,9322.0,9380.0,2449.95,22927246.71,2020-02-02 23:00:00
9411.09,9420.26,9288.0,9331.51,3133.79,29308239.32,2020-02-03 00:00:00
9510.76,9618.79,9396.37,9411.09,5099.98,48546952.66,2020-02-03 01:00:00
9376.3,9517.43,9320.0,9510.76,4666.14,43849541.45,2020-02-03 02:00:00
9385.59,9397.14,9333.83,9376.3,1769.12,16578721.95,2020-02-03 03:00:00
9392.91,9405.88,9368.43,9385.59,883.74,8299011.61,2020-02-03 04:00:00
9401.8,9426.6,9387.61,9392.91,900.01,8470065.41,2020-02-03 05:00:00
9395.34,9418.0,9385.0,9401.8,947.87,8912899.14,2020-02-03 06:00:00
9368.16,9396.67,9346.09,9395.34,1442.76,13524051.53,2020-02-03 07:00:00
9371.22,9399.42,9351.38,9368.16,1269.76,11905395.74,2020-02-03 08:00:00
9344.16,9374.49,9336.07,9371.22,1637.23,15323218.7,2020-02-03 09:00:00
9312.93,9348.34,9308.19,9344.16,2132.25,19890380.82,2020-02-03 10:00:00
